firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,count_web,gender,prob
Dorina,16,0.0,100.0,0.0,0.0,0.0,0.0,10707,female,0.99
Dorinda,55,1.818,85.455,5.455,3.636,1.818,1.818,2785,female,1.0
Doris,1332,6.306,76.276,13.438,3.378,0.225,0.375,112393,female,1.0
Dorit,18,0.0,100.0,0.0,0.0,0.0,0.0,3340,female,1.0
Doron,27,0.0,100.0,0.0,0.0,0.0,0.0,4490,male,1.0
Dorota,62,1.613,95.161,0.0,3.226,0.0,0.0,61854,female,0.99
Dorothea,120,0.833,80.833,15.0,2.5,0.0,0.833,8761,female,1.0
Dorothy,2573,1.71,82.86,13.175,1.671,0.35,0.233,88383,female,1.0
Doug,438,0.913,95.89,0.228,2.968,0.0,0.0,175193,male,1.0
Douglas,8505,0.788,96.767,1.211,1.011,0.082,0.141,195914,male,1.0
Douglass,53,0.0,96.226,1.887,1.887,0.0,0.0,1364,male,1.0
Dov,24,0.0,100.0,0.0,0.0,0.0,0.0,2638,male,1.0
Doyle,146,0.0,95.89,2.74,1.37,0.0,0.0,5098,male,1.0
Dragan,35,0.0,97.143,0.0,2.857,0.0,0.0,31201,male,0.99
Drake,30,0.0,93.333,3.333,3.333,0.0,0.0,7765,male,1.0
Drew,436,1.835,97.706,0.459,0.0,0.0,0.0,11780,male,0.98
Dru,31,0.0,100.0,0.0,0.0,0.0,0.0,439,male,0.77
Duane,1152,0.608,92.188,5.556,1.389,0.174,0.087,37141,male,1.0
Duc,160,0.625,1.875,0.0,96.875,0.0,0.625,10360,male,0.99
Dudley,58,1.724,82.759,12.069,3.448,0.0,0.0,4578,male,1.0
Duke,47,4.255,61.702,0.0,31.915,0.0,2.128,10142,male,0.99
Dulce,79,77.215,13.924,1.266,7.595,0.0,0.0,43474,female,0.99
Duncan,145,0.69,93.103,6.207,0.0,0.0,0.0,39777,male,1.0
Dung,213,0.469,2.347,0.0,96.714,0.0,0.469,951,male,0.76
Duong,38,0.0,5.263,0.0,94.737,0.0,0.0,8108,male,0.99
Dustin,1179,0.848,97.116,0.254,1.187,0.424,0.17,74012,male,1.0
Dusty,76,1.316,97.368,0.0,1.316,0.0,0.0,1215,male,0.89
Duy,41,0.0,2.439,0.0,97.561,0.0,0.0,10379,male,1.0
Dwain,49,0.0,83.673,16.327,0.0,0.0,0.0,2893,male,1.0
Dwaine,36,2.778,86.111,11.111,0.0,0.0,0.0,1601,male,1.0
Dwayne,488,0.82,74.795,23.156,0.82,0.41,0.0,34213,male,1.0
Dwight,624,1.122,79.006,16.667,3.045,0.0,0.16,24609,male,1.0
Dyan,39,2.564,89.744,5.128,2.564,0.0,0.0,574,female,0.78
Dylan,202,0.99,94.059,1.485,3.465,0.0,0.0,111967,male,1.0
Dzung,25,0.0,0.0,0.0,100.0,0.0,0.0,1217,male,1.0
Earl,977,0.716,83.828,13.408,1.842,0.102,0.102,36919,male,1.0
Earle,64,0.0,90.625,6.25,3.125,0.0,0.0,2341,male,1.0
Earlene,47,0.0,74.468,23.404,2.128,0.0,0.0,2300,female,1.0
Earline,33,0.0,48.485,48.485,3.03,0.0,0.0,1277,female,1.0
Earnest,89,0.0,56.18,40.449,2.247,0.0,1.124,4153,male,1.0
Earnestine,31,0.0,16.129,83.871,0.0,0.0,0.0,1060,female,1.0
Ebony,58,3.448,5.172,87.931,1.724,1.724,0.0,20144,female,0.99
Ed,134,4.478,84.328,0.746,8.955,0.746,0.746,187316,male,1.0
Eddie,694,12.536,50.144,24.64,12.248,0.144,0.288,17522,male,0.98
Eddy,108,34.259,45.37,12.963,7.407,0.0,0.0,28153,male,0.98
Eden,67,7.463,53.731,13.433,20.896,1.493,2.985,3771,female,0.63
Edgar,851,50.059,38.778,3.878,6.58,0.47,0.235,184266,male,1.0
Edgardo,124,50.806,10.484,0.0,38.71,0.0,0.0,30744,male,1.0
Edie,34,2.941,94.118,0.0,0.0,0.0,2.941,8749,female,0.97
Edilberto,37,40.541,10.811,0.0,48.649,0.0,0.0,7425,male,1.0
Edison,52,32.692,36.538,15.385,13.462,1.923,0.0,39848,male,1.0
Edith,624,16.667,69.551,9.455,4.006,0.16,0.16,91168,female,1.0
Edmond,205,2.927,73.659,7.805,15.61,0.0,0.0,19274,male,1.0
Edmund,454,4.846,83.7,4.185,7.048,0.0,0.22,21001,male,1.0
Edmundo,63,65.079,15.873,0.0,19.048,0.0,0.0,15433,male,1.0
Edna,460,11.957,61.087,12.609,13.478,0.435,0.435,63504,female,1.0
Eduard,70,4.286,91.429,0.0,2.857,1.429,0.0,41425,male,1.0
Eduardo,911,78.814,10.428,0.329,10.318,0.0,0.11,466869,male,1.0
Edward,10112,4.144,89.221,3.422,2.937,0.148,0.129,265332,male,1.0
Edwin,1479,19.675,67.41,4.665,7.978,0.068,0.203,175707,male,1.0
Edwina,88,3.409,59.091,26.136,11.364,0.0,0.0,8387,female,1.0
Edyta,19,0.0,100.0,0.0,0.0,0.0,0.0,33703,female,0.99
Effie,46,2.174,69.565,17.391,10.87,0.0,0.0,5464,female,1.0
Efrain,213,93.427,5.634,0.0,0.939,0.0,0.0,22714,male,1.0
Efren,149,75.168,6.04,0.0,18.792,0.0,0.0,13714,male,1.0
Eileen,2031,2.068,94.485,0.935,2.314,0.098,0.098,86067,female,1.0
Ekaterina,35,0.0,100.0,0.0,0.0,0.0,0.0,48460,female,0.99
Elaina,49,2.041,91.837,4.082,2.041,0.0,0.0,5226,female,1.0
Elaine,2364,2.073,87.775,4.484,5.499,0.085,0.085,204632,female,1.0
Elana,61,3.279,88.525,6.557,1.639,0.0,0.0,5561,female,1.0
Elba,64,87.5,10.938,0.0,1.563,0.0,0.0,969,female,0.92
Elbert,97,3.093,52.577,37.113,7.216,0.0,0.0,4206,male,1.0
Elda,54,64.815,29.63,5.556,0.0,0.0,0.0,11423,female,0.99
Elden,30,0.0,86.667,6.667,6.667,0.0,0.0,1114,male,1.0
Eldon,116,0.0,99.138,0.0,0.862,0.0,0.0,4363,male,1.0
Eleanor,707,3.536,82.603,7.355,6.223,0.0,0.283,42551,female,1.0
Eleanore,30,10.0,80.0,0.0,6.667,0.0,3.333,1245,female,1.0
Eleazar,51,90.196,5.882,1.961,1.961,0.0,0.0,7957,male,1.0
Eleftherios,20,0.0,100.0,0.0,0.0,0.0,0.0,1547,male,1.0
Elena,712,27.107,65.028,0.983,6.461,0.14,0.281,464351,female,1.0
Eleni,59,0.0,94.915,5.085,0.0,0.0,0.0,29269,female,1.0
Eleonora,34,8.824,88.235,0.0,2.941,0.0,0.0,57408,female,1.0
Eli,201,10.945,81.095,5.97,1.99,0.0,0.0,77018,male,0.78
Elia,89,74.157,24.719,1.124,0.0,0.0,0.0,6539,male,0.58
Eliana,31,54.839,41.935,3.226,0.0,0.0,0.0,75982,female,1.0
Elias,311,48.232,43.73,4.502,3.215,0.322,0.0,94336,male,1.0
Elida,56,87.5,12.5,0.0,0.0,0.0,0.0,9656,female,1.0
Elie,48,6.25,89.583,2.083,2.083,0.0,0.0,9687,male,0.93
Elijah,98,3.061,55.102,36.735,4.082,0.0,1.02,29421,male,1.0
Elin,18,0.0,100.0,0.0,0.0,0.0,0.0,5546,female,0.95
Elinor,56,0.0,92.857,3.571,3.571,0.0,0.0,5482,female,1.0
Elio,32,40.625,59.375,0.0,0.0,0.0,0.0,24045,male,1.0
Eliot,46,13.043,82.609,0.0,4.348,0.0,0.0,1296,male,0.97
Elisa,404,25.495,65.842,1.98,6.436,0.248,0.0,206221,female,1.0
Elisabeth,448,2.679,96.205,0.223,0.67,0.223,0.0,129244,female,1.0
Elise,320,0.938,93.75,3.438,1.25,0.313,0.313,69085,female,0.99
Eliseo,103,87.379,1.942,0.0,10.68,0.0,0.0,11387,male,1.0
Elisha,87,6.897,83.908,9.195,0.0,0.0,0.0,1440,female,0.66
Elissa,136,3.676,95.588,0.0,0.0,0.735,0.0,11148,female,1.0
Eliza,94,11.702,60.638,17.021,9.574,1.064,0.0,53231,female,1.0
Elizabeth,12737,5.967,90.547,1.523,1.759,0.102,0.102,588821,female,1.0
Elke,49,0.0,100.0,0.0,0.0,0.0,0.0,29958,female,0.99
Ella,237,1.688,67.511,25.738,3.797,1.266,0.0,67965,female,0.99
Ellen,2744,0.729,94.971,1.239,2.915,0.109,0.036,168124,female,1.0
Ellie,56,8.929,76.786,1.786,12.5,0.0,0.0,46226,female,1.0
Elliot,191,5.236,85.34,6.283,3.141,0.0,0.0,3639,male,0.98
Elliott,201,0.995,82.587,12.438,3.483,0.498,0.0,2362,male,0.98
Ellis,120,2.5,73.333,23.333,0.833,0.0,0.0,1924,male,0.6
Ellyn,49,0.0,93.878,0.0,6.122,0.0,0.0,2479,female,1.0
Elma,62,33.871,33.871,12.903,19.355,0.0,0.0,2370,female,0.94
Elmer,320,20.937,63.75,7.5,6.875,0.625,0.313,25137,male,1.0
Eloisa,55,63.636,21.818,1.818,12.727,0.0,0.0,15636,female,1.0
Eloise,86,13.953,63.953,18.605,2.326,0.0,1.163,13169,female,1.0
Eloy,84,88.095,7.143,1.19,2.381,1.19,0.0,17191,male,0.99
Elpidio,35,48.571,22.857,0.0,28.571,0.0,0.0,2479,male,1.0
Elsa,291,56.014,32.99,4.124,6.529,0.344,0.0,90228,female,1.0
Elsie,221,10.86,66.968,14.027,6.787,0.905,0.452,19069,female,1.0
Elton,77,0.0,71.429,24.675,2.597,1.299,0.0,27032,male,1.0
Elva,133,71.429,27.068,0.752,0.752,0.0,0.0,1115,female,0.96
Elvia,138,89.13,7.246,2.899,0.725,0.0,0.0,12880,female,1.0
Elvin,83,30.12,49.398,13.253,7.229,0.0,0.0,14619,male,0.98
Elvira,239,50.209,30.962,3.766,14.644,0.0,0.418,51036,female,1.0
Elvis,84,44.048,21.429,23.81,9.524,0.0,1.19,55164,male,0.99
Elwin,16,0.0,100.0,0.0,0.0,0.0,0.0,2111,male,0.99
Elwood,69,1.449,84.058,14.493,0.0,0.0,0.0,1404,male,1.0
Elyse,107,1.869,93.458,1.869,1.869,0.0,0.935,10893,female,0.98
Elyssa,19,0.0,100.0,0.0,0.0,0.0,0.0,2497,female,1.0
Elzbieta,62,3.226,95.161,1.613,0.0,0.0,0.0,8477,female,0.99
Emad,54,1.852,77.778,1.852,16.667,1.852,0.0,35078,male,1.0
Emanuel,128,18.75,57.813,21.094,2.344,0.0,0.0,57255,male,1.0
Emerson,52,9.615,67.308,1.923,17.308,3.846,0.0,3112,male,0.99
Emery,58,3.448,84.483,8.621,1.724,1.724,0.0,684,male,0.87
Emil,183,2.732,93.443,1.093,2.186,0.546,0.0,58802,male,0.99
Emile,69,7.246,73.913,18.841,0.0,0.0,0.0,5203,male,0.94
Emilee,33,0.0,96.97,0.0,3.03,0.0,0.0,4844,female,1.0
Emilia,128,46.875,46.094,0.781,6.25,0.0,0.0,77047,female,0.99
Emiliano,48,72.917,12.5,0.0,14.583,0.0,0.0,36180,male,1.0
Emilie,98,1.02,92.857,1.02,5.102,0.0,0.0,139760,female,0.99
Emilio,195,74.359,21.026,1.026,3.077,0.0,0.513,100714,male,1.0
Emily,2809,1.673,92.026,1.709,4.201,0.142,0.249,381904,female,1.0
Emma,532,24.436,54.511,14.098,6.203,0.752,0.0,344546,female,0.99
Emmanuel,295,24.746,28.475,27.458,19.322,0.0,0.0,246684,male,1.0
Emmett,94,1.064,78.723,18.085,1.064,1.064,0.0,5266,male,1.0
Emory,50,2.0,88.0,10.0,0.0,0.0,0.0,243,male,0.92
Enedina,27,100.0,0.0,0.0,0.0,0.0,0.0,1681,female,1.0
Enid,49,12.245,73.469,14.286,0.0,0.0,0.0,6400,female,0.99
Enrico,59,15.254,69.492,3.39,11.864,0.0,0.0,93600,male,1.0
Enrique,658,89.362,6.383,0.0,4.255,0.0,0.0,180345,male,1.0
Enriqueta,35,77.143,14.286,0.0,8.571,0.0,0.0,2939,female,1.0
Epifanio,33,84.848,3.03,0.0,12.121,0.0,0.0,1992,male,1.0
Eran,20,0.0,100.0,0.0,0.0,0.0,0.0,1048,male,0.97
Erasmo,41,90.244,9.756,0.0,0.0,0.0,0.0,8257,male,1.0
Eric,10840,2.97,89.53,3.727,3.496,0.129,0.148,782340,male,1.0
Erica,1414,9.335,80.057,8.699,1.627,0.212,0.071,191661,female,1.0
Erich,194,1.546,97.423,0.515,0.515,0.0,0.0,22044,male,1.0
Erick,320,30.0,61.875,4.063,3.75,0.313,0.0,119383,male,1.0
Ericka,134,20.896,52.985,26.119,0.0,0.0,0.0,24994,female,1.0
Erik,1674,5.018,92.533,1.314,1.016,0.119,0.0,215934,male,1.0
Erika,948,18.46,73.523,6.224,1.266,0.105,0.422,278293,female,1.0
Erin,3413,0.938,97.949,0.469,0.439,0.117,0.088,194622,female,1.0
Erinn,37,0.0,91.892,5.405,2.703,0.0,0.0,228,female,0.97
Erlinda,130,10.0,13.077,0.0,76.154,0.0,0.769,4280,female,1.0
Erma,82,3.659,62.195,30.488,3.659,0.0,0.0,5131,female,0.99
Ernest,1390,9.281,75.252,11.871,3.094,0.288,0.216,62766,male,1.0
Ernestina,51,82.353,9.804,5.882,1.961,0.0,0.0,5021,female,1.0
Ernestine,112,11.607,44.643,41.071,1.786,0.893,0.0,4890,female,1.0
Ernesto,574,77.7,7.666,0.871,13.763,0.0,0.0,109602,male,1.0
Ernie,133,24.06,59.398,3.008,12.03,0.752,0.752,2514,male,0.93
Ernst,36,0.0,66.667,33.333,0.0,0.0,0.0,18180,male,1.0
Errol,93,1.075,43.011,49.462,5.376,1.075,0.0,11395,male,1.0
Ervin,97,7.216,70.103,22.68,0.0,0.0,0.0,14153,male,1.0
Erwin,157,13.376,55.414,5.096,25.478,0.0,0.637,62310,male,1.0
Eryn,32,0.0,96.875,3.125,0.0,0.0,0.0,3241,female,1.0
Esmeralda,134,82.836,9.701,1.493,5.97,0.0,0.0,37368,female,1.0
Esperanza,209,84.211,8.134,0.478,7.177,0.0,0.0,30614,female,0.99
Essie,34,2.941,14.706,79.412,2.941,0.0,0.0,489,female,0.93
Esteban,178,89.326,7.865,0.0,2.809,0.0,0.0,82122,male,1.0
Estela,157,82.166,10.828,0.637,5.732,0.0,0.637,37450,female,1.0
Estella,95,52.632,28.421,12.632,5.263,0.0,1.053,6873,female,1.0
Estelle,82,4.878,85.366,9.756,0.0,0.0,0.0,57876,female,0.99
Ester,60,33.333,41.667,8.333,16.667,0.0,0.0,12416,female,0.98
Esther,878,25.513,52.961,10.364,10.364,0.569,0.228,217740,female,1.0
Estrella,52,32.692,13.462,0.0,53.846,0.0,0.0,21963,female,0.99
Ethan,257,1.556,94.163,0.389,3.502,0.0,0.389,62728,male,1.0
Ethel,278,4.317,60.791,28.777,5.036,0.719,0.36,16810,female,1.0
Etta,45,2.222,64.444,28.889,2.222,0.0,2.222,3376,female,0.99
Eugene,2189,2.741,84.651,6.67,5.71,0.046,0.183,83533,male,0.99
Eugenia,226,18.584,70.796,6.195,4.425,0.0,0.0,42399,female,1.0
Eugenio,102,74.51,17.647,0.0,7.843,0.0,0.0,44590,male,1.0
Eula,46,0.0,50.0,50.0,0.0,0.0,0.0,2252,female,1.0
Eulalia,34,67.647,29.412,0.0,2.941,0.0,0.0,4919,female,1.0
Eun,134,0.746,2.239,0.0,96.269,0.0,0.746,3177,female,0.83
Eunice,222,11.261,43.694,22.523,21.622,0.901,0.0,50800,female,1.0
Eusebio,59,83.051,6.78,3.39,6.78,0.0,0.0,8468,male,1.0
Eva,898,20.824,67.595,5.234,5.902,0.223,0.223,413170,female,0.99
Evan,651,1.69,94.931,1.229,1.997,0.0,0.154,87934,male,1.0
Evangelina,100,83.0,14.0,0.0,3.0,0.0,0.0,7752,female,1.0
Evangeline,139,12.95,41.727,7.914,35.971,0.719,0.719,9534,female,1.0
Evangelos,27,0.0,100.0,0.0,0.0,0.0,0.0,5386,male,1.0
Evans,30,3.333,56.667,40.0,0.0,0.0,0.0,20071,male,0.99
Eve,164,3.659,92.073,0.61,3.659,0.0,0.0,45252,female,0.99
Evelia,46,97.826,2.174,0.0,0.0,0.0,0.0,2727,female,1.0
Evelina,34,32.353,61.765,0.0,5.882,0.0,0.0,13754,female,1.0
Evelyn,1379,13.706,66.497,11.313,7.832,0.218,0.435,151462,female,1.0
Everardo,58,96.552,3.448,0.0,0.0,0.0,0.0,4698,male,1.0
Everett,296,0.676,86.824,9.797,2.365,0.0,0.338,9986,male,1.0
Evette,32,18.75,43.75,37.5,0.0,0.0,0.0,3440,female,1.0
Evonne,49,0.0,79.592,18.367,2.041,0.0,0.0,2998,female,1.0
Ewa,100,1.0,98.0,0.0,1.0,0.0,0.0,108889,female,0.99
Eyal,21,0.0,100.0,0.0,0.0,0.0,0.0,7392,male,1.0
Ezequiel,72,95.833,4.167,0.0,0.0,0.0,0.0,38678,male,1.0
Ezra,54,0.0,77.778,16.667,5.556,0.0,0.0,1338,male,0.82
Fabian,113,66.372,23.009,7.08,3.54,0.0,0.0,118557,male,1.0
Fabio,56,32.143,66.071,1.786,0.0,0.0,0.0,333000,male,1.0
Fabiola,85,81.176,16.471,2.353,0.0,0.0,0.0,72939,female,1.0
Fadi,45,0.0,88.889,0.0,11.111,0.0,0.0,28002,male,0.98
Fae,15,0.0,100.0,0.0,0.0,0.0,0.0,1084,female,0.94
Faisal,47,2.128,44.681,0.0,51.064,2.128,0.0,78528,male,1.0
Faith,384,1.823,88.021,5.99,3.385,0.521,0.26,60834,female,0.99
Fan,54,0.0,3.704,0.0,96.296,0.0,0.0,13885,female,0.9
Fang,56,0.0,0.0,0.0,100.0,0.0,0.0,1550,female,0.72
Fannie,60,1.667,25.0,66.667,6.667,0.0,0.0,4421,female,0.99
Fanny,70,41.429,21.429,0.0,37.143,0.0,0.0,95846,female,0.99
Farah,57,3.509,57.895,10.526,28.07,0.0,0.0,51777,female,0.98
Farhad,64,0.0,76.563,0.0,23.438,0.0,0.0,21059,male,1.0
Fariborz,17,0.0,100.0,0.0,0.0,0.0,0.0,298,male,0.98
Farid,56,1.786,73.214,1.786,21.429,1.786,0.0,60401,male,0.99
Farida,33,3.03,39.394,3.03,51.515,3.03,0.0,20726,female,0.99
Farrah,45,2.222,68.889,15.556,13.333,0.0,0.0,7638,female,1.0
Fatima,142,21.127,48.592,7.042,21.127,1.408,0.704,183935,female,1.0
Faustino,65,84.615,10.769,1.538,3.077,0.0,0.0,7440,male,1.0
Fausto,62,83.871,16.129,0.0,0.0,0.0,0.0,31205,male,1.0
Fawn,31,3.226,96.774,0.0,0.0,0.0,0.0,2906,female,1.0
Fay,146,0.0,80.822,7.534,10.959,0.0,0.685,2647,female,0.75
Faye,329,0.912,81.459,10.638,6.687,0.304,0.0,35197,female,0.98
Fe,56,23.214,12.5,0.0,64.286,0.0,0.0,7986,female,0.96
Federico,156,75.0,15.385,0.641,8.333,0.0,0.641,156205,male,1.0
Fei,46,0.0,2.174,0.0,97.826,0.0,0.0,1473,male,0.57
Felecia,47,2.128,31.915,65.957,0.0,0.0,0.0,4450,female,1.0
Felice,58,3.448,87.931,8.621,0.0,0.0,0.0,6061,male,0.92
Felicia,448,7.589,56.027,33.259,2.455,0.446,0.223,64852,female,1.0
Feliciano,48,62.5,20.833,0.0,16.667,0.0,0.0,5804,male,1.0
Felicitas,42,66.667,11.905,2.381,19.048,0.0,0.0,4180,female,0.99
Felipe,413,90.557,3.632,0.726,4.6,0.484,0.0,248929,male,1.0
Felix,504,55.952,27.579,6.944,9.127,0.397,0.0,159290,male,1.0
Fen,18,0.0,0.0,0.0,100.0,0.0,0.0,359,female,0.59
Feng,134,1.493,0.746,0.0,97.761,0.0,0.0,14322,male,0.98
Ferdinand,101,17.822,38.614,3.96,39.604,0.0,0.0,22798,male,1.0
Fermin,67,88.06,4.478,0.0,7.463,0.0,0.0,11020,male,1.0
Fern,72,0.0,90.278,6.944,1.389,1.389,0.0,6991,female,0.97
Fernanda,47,25.532,70.213,4.255,0.0,0.0,0.0,210089,female,1.0
Fernando,983,78.637,14.852,0.61,5.799,0.102,0.0,580777,male,1.0
Fidel,177,90.395,4.52,1.13,3.39,0.565,0.0,22872,male,0.99
Fidencio,30,90.0,6.667,0.0,3.333,0.0,0.0,1311,male,1.0
Filiberto,52,92.308,7.692,0.0,0.0,0.0,0.0,4581,male,1.0
Filomena,56,17.857,58.929,0.0,23.214,0.0,0.0,18434,female,0.99
Fiona,107,0.935,86.916,2.804,9.346,0.0,0.0,102628,female,1.0
Flavia,33,33.333,54.545,6.061,6.061,0.0,0.0,67225,female,1.0
Flavio,51,86.275,13.725,0.0,0.0,0.0,0.0,81315,male,1.0
Fletcher,30,0.0,80.0,20.0,0.0,0.0,0.0,3503,male,1.0
Flor,88,82.955,12.5,0.0,4.545,0.0,0.0,53939,female,0.99
Flora,181,24.309,46.961,11.05,17.68,0.0,0.0,45241,female,0.99
Florence,505,1.98,75.248,13.861,8.515,0.396,0.0,119381,female,0.99
Florencio,53,71.698,9.434,0.0,18.868,0.0,0.0,6385,male,1.0
Florentino,62,80.645,4.839,0.0,14.516,0.0,0.0,4976,male,1.0
Florian,41,4.878,92.683,0.0,2.439,0.0,0.0,134796,male,1.0
Florin,31,3.226,96.774,0.0,0.0,0.0,0.0,37663,male,1.0
Floyd,501,0.998,82.834,12.974,2.595,0.2,0.399,16868,male,1.0
Fonda,35,0.0,88.571,11.429,0.0,0.0,0.0,1876,female,0.99
Ford,16,0.0,100.0,0.0,0.0,0.0,0.0,3980,male,0.99
Forest,58,0.0,91.379,5.172,3.448,0.0,0.0,604,male,0.89
Forrest,256,0.391,95.313,3.125,1.172,0.0,0.0,11231,male,1.0
Fran,90,0.0,96.667,1.111,1.111,0.0,1.111,61544,male,0.9
Frances,2026,6.96,83.81,5.726,2.962,0.247,0.296,70689,female,0.99
Francesca,142,4.225,92.254,2.817,0.704,0.0,0.0,250535,female,1.0
Francesco,121,2.479,97.521,0.0,0.0,0.0,0.0,378690,male,1.0
Francine,409,2.934,86.308,8.802,1.222,0.244,0.489,51360,female,1.0
Francis,2114,2.271,88.269,3.075,6.197,0.095,0.095,43310,male,0.94
Francisca,198,82.828,7.576,4.04,5.556,0.0,0.0,63131,female,1.0
Francisco,1884,87.898,8.652,0.159,3.291,0.0,0.0,612988,male,1.0
Franco,89,17.978,75.281,3.371,3.371,0.0,0.0,137416,male,1.0
Francois,61,1.639,78.689,14.754,4.918,0.0,0.0,80010,male,0.99
Frank,6611,7.003,86.855,2.904,2.859,0.287,0.091,531783,male,1.0
Frankie,179,10.615,67.598,15.642,5.587,0.559,0.0,5365,male,0.84
Franklin,723,8.99,74.827,9.129,6.639,0.138,0.277,61172,male,1.0
Franklyn,35,17.143,68.571,11.429,2.857,0.0,0.0,4264,male,1.0
Franz,38,13.158,81.579,0.0,5.263,0.0,0.0,46409,male,0.99
Fred,1773,3.892,87.874,4.738,3.046,0.169,0.282,257092,male,0.99
Freda,102,1.961,81.373,14.706,1.961,0.0,0.0,10755,female,1.0
Freddie,214,12.617,44.393,36.449,5.607,0.0,0.935,3121,male,0.96
Freddy,123,62.602,26.829,6.504,4.065,0.0,0.0,85613,male,1.0
Frederic,201,2.488,91.542,2.985,2.985,0.0,0.0,95515,male,1.0
Frederick,2397,0.918,89.487,6.675,2.67,0.083,0.167,50334,male,1.0
Fredric,104,0.0,98.077,1.923,0.0,0.0,0.0,2993,male,1.0
Fredrick,281,1.068,82.918,14.235,0.712,1.068,0.0,17367,male,1.0
Fredy,59,84.746,8.475,0.0,6.78,0.0,0.0,40813,male,1.0
Frieda,49,2.041,81.633,6.122,10.204,0.0,0.0,6335,female,0.99
Friedrich,18,0.0,100.0,0.0,0.0,0.0,0.0,9232,male,1.0
Fritz,51,1.961,76.471,17.647,3.922,0.0,0.0,20903,male,0.99
Fu,33,3.03,0.0,0.0,96.97,0.0,0.0,6577,male,0.98
Gabino,37,97.297,2.703,0.0,0.0,0.0,0.0,3263,male,1.0
Gabriel,1051,49.286,45.956,2.188,2.284,0.0,0.285,426540,male,1.0
Gabriela,294,62.585,36.395,0.34,0.0,0.34,0.34,314974,female,1.0
Gabriele,65,4.615,95.385,0.0,0.0,0.0,0.0,36309,male,0.85
Gabriella,71,12.676,85.915,0.0,0.0,0.0,1.408,82292,female,1.0
Gabrielle,199,2.513,89.95,5.528,0.503,0.503,1.005,73754,female,1.0
Gaetano,63,0.0,98.413,0.0,1.587,0.0,0.0,41669,male,1.0
Gail,2620,0.573,93.473,4.16,1.641,0.0,0.153,9470,female,0.97
Gale,325,1.231,89.538,6.462,2.462,0.308,0.0,978,female,0.72
Galen,145,1.379,93.793,1.379,3.448,0.0,0.0,759,male,0.97
Galina,131,0.0,98.473,0.0,1.527,0.0,0.0,27966,female,1.0
Ganesh,65,1.538,20.0,0.0,78.462,0.0,0.0,80230,male,1.0
Gang,76,0.0,1.316,0.0,98.684,0.0,0.0,731,male,0.95
Garen,18,0.0,100.0,0.0,0.0,0.0,0.0,156,male,0.97
Gareth,49,2.041,87.755,2.041,6.122,0.0,2.041,45046,male,1.0
Garland,97,1.031,83.505,15.464,0.0,0.0,0.0,327,male,0.95
Garnet,35,2.857,80.0,17.143,0.0,0.0,0.0,244,male,0.62
Garret,72,0.0,88.889,1.389,9.722,0.0,0.0,4982,male,1.0
Garrett,476,1.261,92.437,2.311,3.782,0.21,0.0,39840,male,1.0
Garrick,39,0.0,79.487,7.692,10.256,2.564,0.0,2758,male,1.0
Garrison,20,0.0,100.0,0.0,0.0,0.0,0.0,1929,male,1.0
Garry,425,0.941,92.471,4.0,2.588,0.0,0.0,46279,male,1.0
Garth,152,0.0,90.789,7.237,1.316,0.0,0.658,11697,male,1.0
Gary,12141,0.799,95.396,1.68,1.903,0.091,0.132,436588,male,1.0
Gaspar,31,77.419,16.129,0.0,6.452,0.0,0.0,10317,male,0.99
Gaurav,49,0.0,18.367,0.0,79.592,2.041,0.0,113478,male,1.0
Gautam,38,5.263,15.789,0.0,76.316,2.632,0.0,29696,male,1.0
Gavin,204,1.961,90.686,1.961,4.902,0.49,0.0,66933,male,1.0
Gay,166,0.0,94.578,2.41,2.41,0.0,0.602,2559,male,0.62
Gaye,74,2.703,94.595,2.703,0.0,0.0,0.0,9932,female,0.96
Gayla,118,1.695,94.068,3.39,0.0,0.847,0.0,4218,female,1.0
Gayle,916,1.092,94.76,2.62,1.31,0.0,0.218,2776,female,0.97
Gaylen,21,0.0,100.0,0.0,0.0,0.0,0.0,50,male,0.74
Gaylene,41,0.0,100.0,0.0,0.0,0.0,0.0,1917,female,1.0
Gaylord,39,0.0,94.872,2.564,0.0,0.0,2.564,2610,male,0.99
Ge,19,0.0,0.0,0.0,100.0,0.0,0.0,970,male,0.72
Geeta,65,0.0,29.231,1.538,67.692,0.0,1.538,16713,female,1.0
Geetha,37,0.0,16.216,2.703,81.081,0.0,0.0,14464,female,1.0
Gemma,57,8.772,54.386,1.754,35.088,0.0,0.0,83613,female,1.0
Gena,127,3.15,90.551,3.937,2.362,0.0,0.0,10484,female,0.93
Genaro,86,90.698,3.488,0.0,5.814,0.0,0.0,11349,male,1.0
Gene,868,1.267,89.862,4.378,4.147,0.115,0.23,8508,male,0.87
Geneva,140,2.857,67.143,27.143,1.429,0.714,0.714,7411,female,1.0
Genevieve,301,8.306,81.728,3.654,5.316,0.997,0.0,35265,female,1.0
Gennady,31,0.0,100.0,0.0,0.0,0.0,0.0,562,male,0.99
Gennaro,44,2.273,97.727,0.0,0.0,0.0,0.0,26245,male,1.0
Genoveva,51,72.549,15.686,0.0,11.765,0.0,0.0,5141,female,1.0
Geoff,90,1.111,97.778,0.0,1.111,0.0,0.0,59730,male,1.0
Geoffrey,1066,0.938,95.779,0.844,2.345,0.0,0.094,64678,male,1.0
