firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,count_web,gender,prob
Sophia,267,12.36,56.18,14.232,17.228,0.0,0.0,104370,female,1.0
Sophie,119,4.202,78.151,5.882,11.765,0.0,0.0,294833,female,0.99
Soraya,44,20.455,61.364,2.273,9.091,2.273,4.545,44615,female,0.99
Soren,17,0.0,100.0,0.0,0.0,0.0,0.0,777,male,0.98
Spencer,433,0.231,88.915,6.005,4.619,0.231,0.0,4761,male,0.98
Spiro,16,0.0,100.0,0.0,0.0,0.0,0.0,2098,male,0.99
Sridhar,64,1.563,10.938,0.0,87.5,0.0,0.0,19861,male,1.0
Srikanth,49,0.0,10.204,0.0,89.796,0.0,0.0,28669,male,1.0
Srinivas,128,0.781,16.406,0.0,79.688,0.781,2.344,47431,male,1.0
Srinivasa,70,0.0,4.286,0.0,94.286,1.429,0.0,708,male,0.99
Srinivasan,49,2.041,8.163,0.0,89.796,0.0,0.0,800,male,0.99
Sriram,34,0.0,14.706,0.0,82.353,2.941,0.0,12639,male,1.0
Stacey,2141,1.588,93.648,3.27,1.121,0.14,0.234,10781,female,0.96
Staci,334,1.198,95.21,1.796,1.796,0.0,0.0,14803,female,1.0
Stacia,94,1.064,91.489,3.191,4.255,0.0,0.0,4468,female,1.0
Stacie,520,1.731,95.0,2.308,0.962,0.0,0.0,22402,female,1.0
Stacy,2229,1.122,94.482,2.333,1.525,0.269,0.269,8855,female,0.94
Stan,181,1.105,91.16,3.315,3.867,0.552,0.0,68338,male,0.99
Stanford,50,0.0,76.0,20.0,4.0,0.0,0.0,2466,male,1.0
Stanislav,45,2.222,97.778,0.0,0.0,0.0,0.0,33773,male,1.0
Stanislaw,101,0.0,100.0,0.0,0.0,0.0,0.0,4359,male,1.0
Stanislawa,19,0.0,100.0,0.0,0.0,0.0,0.0,311,female,0.99
Stanley,2032,1.132,84.843,7.037,6.644,0.049,0.295,70815,male,1.0
Stanton,41,0.0,82.927,7.317,7.317,0.0,2.439,1932,male,1.0
Starla,57,1.754,91.228,7.018,0.0,0.0,0.0,2748,female,1.0
Starr,43,2.326,90.698,6.977,0.0,0.0,0.0,322,female,0.79
Stavros,21,0.0,100.0,0.0,0.0,0.0,0.0,9847,male,1.0
Stefan,265,3.019,91.321,1.887,3.396,0.0,0.377,274858,male,1.0
Stefani,63,3.175,93.651,0.0,1.587,0.0,1.587,12838,female,0.99
Stefania,18,0.0,100.0,0.0,0.0,0.0,0.0,102556,female,1.0
Stefanie,426,1.878,93.662,2.347,1.878,0.0,0.235,86152,female,0.99
Stefano,48,0.0,97.917,2.083,0.0,0.0,0.0,224052,male,1.0
Steffanie,38,5.263,89.474,5.263,0.0,0.0,0.0,2414,female,1.0
Steffany,15,0.0,100.0,0.0,0.0,0.0,0.0,3117,female,1.0
Steffen,15,0.0,100.0,0.0,0.0,0.0,0.0,37957,male,1.0
Stella,392,13.265,57.653,12.755,14.796,0.255,1.276,123252,female,0.99
